DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,TC BUY,TC SELL,CN BUY,CN SELL,PC BUY
2021-01-27 10:15,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2021/1/2021-01-27.pdf,4.71,4.96,4.7,4.98,0,0,4.5,5.05,4.69
2021-07-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2021/7/2021-07-23.pdf,4.93,5.2,4.92,5.21,0,0,4.7,5.3,4.91
2024-01-30 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/1/2024-01-30.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-01-31 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/1/2024-01-31.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-01 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-01.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-02 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-02.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-03 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-03.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-05 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-05.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-06 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-06.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-07 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-07.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-08 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-08.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-09 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-09.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2024-02-12 09:30,https://github.com/dutta-partha/sbi_forex_rates/blob/main/pdf_files/2024/2/2024-02-12.pdf,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
